Session ID,Mouse ID,Date,Modality,Context,Dandiset ID,DANDI path,DANDI link,Source session S3 asset,Spike-sorted S3 asset,CCF S3 asset,Behavior S3 asset,Behavior videos S3 asset,Motion-corrected S3 asset,Annotated S3 asset,Processed S3 asset,NWB S3 asset
multiplane-ophys_832700_2026-01-24_12-06-12,832700,2026-01-24,Mesoscope,Sensorimotor,001768,sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-01-24-12-06-12_ophys.nwb,https://dandiarchive.org/dandiset/001768/draft/files?location=sub-832700&page=1,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-24_12-06-12/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-24_12-06-12_processed_2026-01-25_13-33-34/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-24_12-06-12_processed_2026-01-25_13-22-08/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-24_12-06-12_processed_2026-03-28_02-17-32/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-24_12-06-12_nwb_2026-04-20_22-59-22/
multiplane-ophys_832700_2026-01-29_11-18-09,832700,2026-01-29,Mesoscope,Sensorimotor,001768,sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-01-29-11-18-09_ophys.nwb,https://dandiarchive.org/dandiset/001768/draft/files?location=sub-832700&page=1,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-29_11-18-09/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-29_11-18-09_processed_2026-01-30_14-35-06/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-29_11-18-09_processed_2026-01-30_14-22-47/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-29_11-18-09_processed_2026-01-30_19-13-59/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-29_11-18-09_nwb_2026-04-17_17-47-15/
multiplane-ophys_832700_2026-01-30_09-32-25,832700,2026-01-30,Mesoscope,Standard oddball,001768,sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-01-30-09-32-25_ophys.nwb,https://dandiarchive.org/dandiset/001768/draft/files?location=sub-832700&page=1,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-30_09-32-25/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-30_09-32-25_processed_2026-04-06_20-26-37/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-30_09-32-25_processed_2026-02-07_14-41-00/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-30_09-32-25_processed_2026-02-07_19-36-08/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-30_09-32-25_nwb_2026-04-21_01-11-39/
multiplane-ophys_832700_2026-01-31_11-38-29,832700,2026-01-31,Mesoscope,Standard oddball,001768,sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-01-31-11-38-29_ophys.nwb,https://dandiarchive.org/dandiset/001768/draft/files?location=sub-832700&page=1,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-31_11-38-29/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-31_11-38-29_processed_2026-02-01_12-46-33/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-31_11-38-29_processed_2026-02-01_12-35-54/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-31_11-38-29_processed_2026-02-01_17-38-26/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-01-31_11-38-29_nwb_2026-04-21_00-26-30/
multiplane-ophys_832700_2026-02-06_12-31-00,832700,2026-02-06,Mesoscope,Sequence,001768,sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-02-06-12-31-00_ophys.nwb,https://dandiarchive.org/dandiset/001768/draft/files?location=sub-832700&page=1,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-06_12-31-00/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-06_12-31-00_processed_2026-02-08_13-53-35/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-06_12-31-00_processed_2026-02-08_13-44-02/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-06_12-31-00_processed_2026-02-08_18-58-10/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-06_12-31-00_nwb_2026-04-21_00-39-39/
multiplane-ophys_832700_2026-02-07_11-18-06,832700,2026-02-07,Mesoscope,Sequence,001768,sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-02-07-11-18-06_ophys.nwb,https://dandiarchive.org/dandiset/001768/draft/files?location=sub-832700&page=1,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-07_11-18-06/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-07_11-18-06_processed_2026-02-08_15-02-47/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-07_11-18-06_processed_2026-02-08_14-50-56/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-07_11-18-06_processed_2026-02-08_19-58-45/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-07_11-18-06_nwb_2026-04-21_00-39-30/
multiplane-ophys_832700_2026-02-12_11-45-55,832700,2026-02-12,Mesoscope,Duration,001768,sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-02-12-11-45-55_ophys.nwb,https://dandiarchive.org/dandiset/001768/draft/files?location=sub-832700&page=1,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-12_11-45-55/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-12_11-45-55_processed_2026-02-13_05-55-43/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-12_11-45-55_processed_2026-02-13_05-40-15/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-12_11-45-55_processed_2026-02-13_10-22-52/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-12_11-45-55_nwb_2026-04-21_00-25-09/
multiplane-ophys_832700_2026-02-13_11-45-59,832700,2026-02-13,Mesoscope,Duration,001768,sub-832700/sub-832700_ses-multiplane-ophys-832700-2026-02-13-11-45-59_ophys.nwb,https://dandiarchive.org/dandiset/001768/draft/files?location=sub-832700&page=1,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-13_11-45-59/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-13_11-45-59_processed_2026-04-02_17-48-18/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-13_11-45-59_processed_2026-02-14_06-15-39/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-13_11-45-59_processed_2026-02-14_10-56-24/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_832700_2026-02-13_11-45-59_nwb_2026-04-21_01-11-00/
multiplane-ophys_837568_2026-02-13_14-38-22,837568,2026-02-13,Mesoscope,Sequence,001768,sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-02-13-14-38-22_ophys.nwb,https://dandiarchive.org/dandiset/001768/draft/files?location=sub-837568&page=1,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_837568_2026-02-13_14-38-22/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_837568_2026-02-13_14-38-22_processed_2026-04-02_17-47-05/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_837568_2026-02-13_14-38-22_processed_2026-02-14_08-28-43/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_837568_2026-02-13_14-38-22_processed_2026-02-14_13-24-10/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_837568_2026-02-13_14-38-22_nwb_2026-04-21_01-17-05/
multiplane-ophys_837568_2026-02-16_11-39-57,837568,2026-02-16,Mesoscope,Sequence,001768,sub-837568/sub-837568_ses-multiplane-ophys-837568-2026-02-16-11-39-57_ophys.nwb,https://dandiarchive.org/dandiset/001768/draft/files?location=sub-837568&page=1,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_837568_2026-02-16_11-39-57/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_837568_2026-02-16_11-39-57_processed_2026-02-17_05-44-09/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_837568_2026-02-16_11-39-57_processed_2026-02-17_05-34-39/,,,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_837568_2026-02-16_11-39-57_processed_2026-02-17_10-28-19/,https://open.quiltdata.com/b/aind-open-data/tree/multiplane-ophys_837568_2026-02-16_11-39-57_nwb_2026-04-21_01-09-39/
