source_session_id,mouse_id,date,modality,session_stimulus,qc,qc_tags,source_row
SLAP2_776270_2025-07-02_11-50-06,776270,2025-07-02,slap2,2 oddball blocks + 3 Orientation tuning + RF,pass,pilot session,3
SLAP2_796630_2025-08-25_14-59-15,796630,2025-08-25,slap2,2 oddball blocks + 3 Orientation tuning + RF,pass,pilot session,4
SLAP2_796630_2025-08-28_14-25-34,796630,2025-08-28,slap2,2 oddball blocks + 3 Orientation tuning + RF,pass,pilot session,5
SLAP2_796630_2025-09-26_10-48-22,796630,2025-09-26,slap2,2 oddball blocks + 3 Orientation tuning + RF,pass,pilot session,6
SLAP2_796630_2025-10-01_14-23-25,796630,2025-10-01,slap2,2 oddball blocks + 3 Orientation tuning + RF,pass,pilot session,7
801381_2025-06-05_14-57-42,801381,2025-06-05,slap2,1 oddball block + orientation tuning + RF,Fail,motion correction failure,8
SLAP2_801381_2025-09-26_14-17-56,801381,2025-09-26,slap2,2 oddball blocks + 3 Orientation tuning + RF,pass,pilot session,9
SLAP2_801381_2025-10-02_15-23-18,801381,2025-10-02,slap2,2 oddball blocks + 3 Orientation tuning + RF,pass,pilot session,10
SLAP2_803496_2025-07-02_15-33-26,803496,2025-07-02,slap2,2 oddball blocks + 3 Orientation tuning + RF,pass,pilot session,11
ecephys_820454_2025-11-04_14-59-22,820454,2025-11-04,neuropixels,EPHYS_SESSION1_PROD_P3_SENSORYMOTOR,PASS,,12
ecephys_820454_2025-11-05_15-21-15,820454,2025-11-05,neuropixels,EPHYS_SESSION2_PROD_P3_STANDARD,PASS,1 probe excluded for saturation events,13
ecephys_820454_2025-11-06_16-00-27,820454,2025-11-06,neuropixels,EPHYS_SESSION3_PROD_P3_SEQUENCE,PASS,,14
ecephys_820454_2025-11-07_10-54-23,820454,2025-11-07,neuropixels,EPHYS_SESSION4_PROD_P3_DURATION,PASS,,15
ecephys_820459_2025-11-10_15-07-13,820459,2025-11-10,neuropixels,EPHYS_SESSION1_PROD_P3_SENSORYMOTOR,PASS,1 probe excluded for saturation events,16
ecephys_820459_2025-11-12_14-34-33,820459,2025-11-12,neuropixels,EPHYS_SESSION3_PROD_P3_SEQUENCE,PASS,1 probe excluded for saturation events,17
,820459,2025-11-11,neuropixels,EPHYS_SESSION2_PROD_P3_STANDARD,FAIL,mouse stress,18
ecephys_820459_2025-11-13_14-54-19,820459,2025-11-13,neuropixels,EPHYS_SESSION4_PROD_P3_DURATION,FAIL,mouse stress,19
ecephys_830794_2026-01-26_12-02-05,830794,2026-01-26,neuropixels,EPHYS_SESSION1_PROD_P3_SENSORYMOTOR,PASS,,20
ecephys_830794_2026-01-27_11-25-31,830794,2026-01-27,neuropixels,EPHYS_SESSION2_PROD_P3_STANDARD,PASS,,21
ecephys_830794_2026-01-28_11-01-44,830794,2026-01-28,neuropixels,EPHYS_SESSION3_PROD_P3_SEQUENCE,PASS,1 probe excluded for saturation events,22
ecephys_830794_2026-01-29_11-12-57,830794,2026-01-29,neuropixels,EPHYS_SESSION4_PROD_P3_DURATION,PASS,,23
ecephys_830795_2026-02-23_15-03-59,830795,2026-02-23,neuropixels,EPHYS_SESSION1_PROD_P3_SENSORYMOTOR,PASS,,24
ecephys_830795_2026-02-24_15-08-59,830795,2026-02-24,neuropixels,EPHYS_SESSION2_PROD_P3_STANDARD,PASS,,25
ecephys_830795_2026-02-25_16-03-31,830795,2026-02-25,neuropixels,EPHYS_SESSION3_PROD_P3_SEQUENCE,PASS,,26
